work_order_number,job_date,status,priority,job_type,scope_of_work,labor_hours,estimated_cost,actual_cost,technician_name,client_name,service_address,business_name,trade,plan_name,invoice_status,total_due,total_paid_to_date,customer_rating
WO-2026-00533,2026-02-25,completed,scheduled_maintenance,Thermostat install,"Performed thermostat install — inspected the affected area, completed the work, and tested everything before leaving the site.",5.11,372.25,406.15,Isla Alvarez,Customer 0377,"Denver, CO",Regional Comfort Systems,HVAC,Team,paid,440.67,440.67,0
WO-2026-00534,2026-06-19,completed,routine,System inspection,"Customer requested system inspection. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.47,234.86,230.4,Omar Ferreira,Customer 0378,"Denver, CO",Regional Comfort Systems,HVAC,Team,paid,238.46,238.46,3
WO-2026-00535,2026-02-16,completed,routine,System inspection,"Scheduled system inspection visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.32,423.01,403.13,Lena Murphy,Customer 0378,"Denver, CO",Regional Comfort Systems,HVAC,Team,paid,437.4,437.4,4
WO-2026-00536,2026-04-27,completed,scheduled_maintenance,Duct cleaning,"Duct cleaning requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",1.92,521.6,551.18,Lena Patel,Customer 0378,"Denver, CO",Regional Comfort Systems,HVAC,Team,overdue,570.47,0,0
WO-2026-00537,2026-03-10,completed,scheduled_maintenance,Furnace repair,"Furnace repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",5.14,1088.92,1243.42,Isla Alvarez,Customer 0378,"Denver, CO",Regional Comfort Systems,HVAC,Team,paid,1349.11,1349.11,5
WO-2026-00538,2026-07-13,completed,routine,Duct cleaning,"Duct cleaning requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",1.92,1151.96,1217.18,Tariq Kim,Customer 0379,"Portland, OR",Regional Comfort Systems,HVAC,Team,paid,1320.64,1320.64,0
WO-2026-00539,2026-02-15,completed,routine,System inspection,"Scheduled system inspection visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.77,797.14,901.83,Isla Murphy,Customer 0379,"Portland, OR",Regional Comfort Systems,HVAC,Team,paid,978.49,978.49,0
WO-2026-00540,2026-05-18,completed,scheduled_maintenance,AC tune-up,"Scheduled ac tune-up visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.14,187.26,179.72,Grace Haddad,Customer 0379,"Portland, OR",Regional Comfort Systems,HVAC,Team,paid,195,195,3
WO-2026-00541,2026-02-27,completed,scheduled_maintenance,Duct cleaning,"Performed duct cleaning — inspected the affected area, completed the work, and tested everything before leaving the site.",1.48,1132.2,1196.09,Marcus Silva,Customer 0380,"Austin, TX",Regional Comfort Systems,HVAC,Team,paid,1297.76,1297.76,5
WO-2026-00542,2026-05-23,completed,routine,Furnace repair,"Customer requested furnace repair. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.62,263.01,251.8,Marcus Silva,Customer 0290,"Phoenix, AZ",Regional Comfort Systems,HVAC,Team,paid,273.2,273.2,3
WO-2026-00543,2026-06-14,completed,routine,Thermostat install,"Scheduled thermostat install visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.12,851.1,776.79,Sofia Alvarez,Customer 0290,"Phoenix, AZ",Regional Comfort Systems,HVAC,Team,paid,803.98,803.98,5
WO-2026-00544,2026-08-14,canceled,scheduled_maintenance,Thermostat install,"Thermostat install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.34,1002.41,0,Devon Johnson,Customer 0290,"Phoenix, AZ",Regional Comfort Systems,HVAC,Team,not_invoiced,0,0,0
WO-2026-00545,2026-07-22,completed,routine,Furnace repair,"Scheduled furnace repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.37,605.72,597.66,Omar Ferreira,Customer 0290,"Phoenix, AZ",Regional Comfort Systems,HVAC,Team,paid,648.46,648.46,3
WO-2026-00546,2026-07-06,completed,emergency,Tree trimming,"Performed tree trimming — inspected the affected area, completed the work, and tested everything before leaving the site.",4.08,321.38,361.9,Devon Okafor,Customer 0381,"Sacramento, CA",Curb Appeal Landscaping Group,Landscaper,Team,paid,392.66,392.66,4
WO-2026-00547,2026-03-22,completed,routine,Irrigation repair,"Performed irrigation repair — inspected the affected area, completed the work, and tested everything before leaving the site.",4.3,437.33,477.28,Aisha Okafor,Customer 0381,"Sacramento, CA",Curb Appeal Landscaping Group,Landscaper,Team,paid,493.99,493.99,0
WO-2026-00548,2026-04-09,completed,emergency,Irrigation repair,"Irrigation repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",6.88,277.5,277.3,Lena Dubois,Customer 0381,"Sacramento, CA",Curb Appeal Landscaping Group,Landscaper,Team,overdue,300.87,0,4
WO-2026-00549,2026-05-15,completed,routine,Irrigation repair,"Customer requested irrigation repair. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.3,145.38,138.64,Lena Johnson,Customer 0382,"Raleigh, NC",Curb Appeal Landscaping Group,Landscaper,Team,overdue,150.42,0,4
WO-2026-00550,2026-09-08,scheduled,emergency,Tree trimming,"Performed tree trimming — inspected the affected area, completed the work, and tested everything before leaving the site.",1.56,312.01,0,Yuki Sato,Customer 0382,"Raleigh, NC",Curb Appeal Landscaping Group,Landscaper,Team,not_invoiced,0,0,0
WO-2026-00551,2026-06-01,completed,routine,Mulch install,"Performed mulch install — inspected the affected area, completed the work, and tested everything before leaving the site.",4.5,79.64,88.59,Ethan Dubois,Customer 0383,"Pittsburgh, PA",Curb Appeal Landscaping Group,Landscaper,Team,paid,96.12,96.12,0
WO-2026-00552,2026-03-01,completed,scheduled_maintenance,Tree trimming,"Tree trimming requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.51,462.07,493,Yuki Sato,Customer 0383,"Pittsburgh, PA",Curb Appeal Landscaping Group,Landscaper,Team,paid,534.91,534.91,5
WO-2026-00553,2026-04-02,completed,routine,Lawn maintenance,"Scheduled lawn maintenance visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.57,178.36,189.17,Yuki Sato,Customer 0383,"Pittsburgh, PA",Curb Appeal Landscaping Group,Landscaper,Team,overdue,205.25,0,5
WO-2026-00554,2026-07-22,completed,routine,Seasonal cleanup,"Performed seasonal cleanup — inspected the affected area, completed the work, and tested everything before leaving the site.",2.99,294.44,319.71,Devon Okafor,Customer 0383,"Pittsburgh, PA",Curb Appeal Landscaping Group,Landscaper,Team,paid,346.89,346.89,5
WO-2026-00555,2026-02-25,completed,scheduled_maintenance,Mulch install,"Mulch install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",5.74,423.2,437.92,Ethan Dubois,Customer 0384,"Columbus, OH",Curb Appeal Landscaping Group,Landscaper,Team,overdue,475.14,134.16,3
WO-2026-00556,2026-08-18,completed,routine,Irrigation repair,"Scheduled irrigation repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.69,195.02,220.59,Maria Murphy,Customer 0384,"Columbus, OH",Curb Appeal Landscaping Group,Landscaper,Team,paid,239.34,239.34,4
WO-2026-00557,2026-08-08,completed,scheduled_maintenance,Mulch install,"Performed mulch install — inspected the affected area, completed the work, and tested everything before leaving the site.",4.66,294.28,268.77,Maria Murphy,Customer 0385,"Tampa, FL",Curb Appeal Landscaping Group,Landscaper,Team,paid,278.18,278.18,0
WO-2026-00558,2026-03-09,completed,routine,Seasonal cleanup,"Scheduled seasonal cleanup visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",6.67,300.02,292.98,Omar Okafor,Customer 0386,"Denver, CO",Curb Appeal Landscaping Group,Landscaper,Team,paid,317.88,317.88,0
WO-2026-00559,2026-04-23,canceled,scheduled_maintenance,Tree trimming,"Customer requested tree trimming. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.48,93.04,0,Omar Alvarez,Customer 0386,"Denver, CO",Curb Appeal Landscaping Group,Landscaper,Team,not_invoiced,0,0,0
WO-2026-00560,2026-05-20,completed,scheduled_maintenance,Fence repair,"Customer requested fence repair. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.69,93.78,100.47,Devon Dubois,Customer 0242,"Columbus, OH",One Call Handyman Services,Handyman,Starter,paid,109.01,109.01,5
WO-2026-00561,2026-08-08,completed,scheduled_maintenance,Fence repair,"Fence repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",1.67,336.28,363.36,Devon Dubois,Customer 0387,"Pittsburgh, PA",One Call Handyman Services,Handyman,Starter,unpaid,394.25,0,3
WO-2026-00562,2026-07-10,completed,emergency,Drywall repair,"Drywall repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",3.09,309.43,327.55,Devon Dubois,Customer 0255,"Austin, TX",One Call Handyman Services,Handyman,Starter,paid,355.39,355.39,5
WO-2026-00563,2026-07-07,completed,routine,Drywall repair,"Drywall repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.06,135.44,138.23,Devon Dubois,Customer 0255,"Austin, TX",One Call Handyman Services,Handyman,Starter,paid,149.98,149.98,0
WO-2026-00564,2026-05-22,completed,routine,Furniture assembly,"Customer requested furniture assembly. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.8,151.6,156.41,Devon Dubois,Customer 0388,"Sacramento, CA",One Call Handyman Services,Handyman,Starter,overdue,169.7,0,0
WO-2026-00565,2026-03-13,completed,emergency,Furniture assembly,"Furniture assembly requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",3.33,65.7,67.99,Devon Dubois,Customer 0388,"Sacramento, CA",One Call Handyman Services,Handyman,Starter,overdue,73.77,33.22,0
WO-2026-00566,2026-07-07,completed,scheduled_maintenance,General repairs,"Scheduled general repairs visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.18,266.22,301.61,Devon Dubois,Customer 0388,"Sacramento, CA",One Call Handyman Services,Handyman,Starter,paid,327.25,327.25,4
WO-2026-00567,2026-07-25,completed,routine,General repairs,"Scheduled general repairs visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.33,226.42,234.48,Devon Dubois,Customer 0388,"Sacramento, CA",One Call Handyman Services,Handyman,Starter,paid,242.69,242.69,3
WO-2026-00568,2026-04-13,completed,scheduled_maintenance,Furniture assembly,"Performed furniture assembly — inspected the affected area, completed the work, and tested everything before leaving the site.",1.59,74.04,79.03,Devon Dubois,Customer 0388,"Sacramento, CA",One Call Handyman Services,Handyman,Starter,paid,85.75,85.75,4
WO-2026-00569,2026-05-12,completed,emergency,Fence repair,"Scheduled fence repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.03,80.93,82.26,Devon Dubois,Customer 0388,"Sacramento, CA",One Call Handyman Services,Handyman,Starter,paid,89.25,89.25,0
WO-2026-00570,2026-05-29,completed,scheduled_maintenance,Fence repair,"Fence repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.87,256.53,289.24,Devon Dubois,Customer 0389,"Austin, TX",One Call Handyman Services,Handyman,Starter,paid,299.37,299.37,3
WO-2026-00571,2026-03-26,completed,scheduled_maintenance,Fence repair,"Scheduled fence repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.33,64.32,68.02,Devon Dubois,Customer 0389,"Austin, TX",One Call Handyman Services,Handyman,Starter,paid,73.8,73.8,5
WO-2026-00572,2026-02-27,completed,scheduled_maintenance,Furniture assembly,"Furniture assembly requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.9,68.14,76.92,Devon Dubois,Customer 0389,"Austin, TX",One Call Handyman Services,Handyman,Starter,paid,83.46,83.46,0
WO-2026-00573,2026-03-02,completed,routine,General repairs,"Customer requested general repairs. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.16,300.27,279.36,Devon Dubois,Customer 0389,"Austin, TX",One Call Handyman Services,Handyman,Starter,paid,303.11,303.11,0
WO-2026-00574,2026-08-14,canceled,routine,Fence repair,"Scheduled fence repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.76,212.46,0,Devon Dubois,Customer 0389,"Austin, TX",One Call Handyman Services,Handyman,Starter,not_invoiced,0,0,0
WO-2026-00575,2026-08-08,completed,scheduled_maintenance,Touch-up work,"Performed touch-up work — inspected the affected area, completed the work, and tested everything before leaving the site.",2.32,1293.45,1385.88,Noah Okafor,Customer 0390,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,1503.68,1503.68,0
WO-2026-00576,2026-06-06,canceled,scheduled_maintenance,Exterior painting,"Scheduled exterior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5.46,517.1,0,James Haddad,Customer 0390,"Raleigh, NC",Precision Painters LLC,Painter,Pro,not_invoiced,0,0,0
WO-2026-00577,2026-07-15,completed,emergency,Exterior painting,"Scheduled exterior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",6.4,550.74,552,James Haddad,Customer 0390,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,598.92,598.92,0
WO-2026-00578,2026-03-06,completed,routine,Exterior painting,"Scheduled exterior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.1,416.87,408.71,Noah Okafor,Customer 0390,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,443.45,443.45,4
WO-2026-00579,2026-06-05,completed,scheduled_maintenance,Touch-up work,"Performed touch-up work — inspected the affected area, completed the work, and tested everything before leaving the site.",2.89,1477.3,1378.96,James Haddad,Customer 0390,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,1496.17,1496.17,5
WO-2026-00580,2026-08-01,completed,routine,Cabinet refinishing,"Performed cabinet refinishing — inspected the affected area, completed the work, and tested everything before leaving the site.",7.36,1012.32,983.35,Chloe Murphy,Customer 0390,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,1066.93,1066.93,4
WO-2026-00581,2026-04-12,completed,routine,Touch-up work,"Touch-up work requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.14,1325.15,1475.24,Chloe Murphy,Customer 0391,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,1600.64,1600.64,3
WO-2026-00582,2026-05-01,completed,routine,Interior painting,"Interior painting requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",6.63,1361.38,1346.52,Noah Okafor,Customer 0391,"Raleigh, NC",Precision Painters LLC,Painter,Pro,overdue,1460.97,577.62,0
WO-2026-00583,2026-07-20,completed,scheduled_maintenance,Cabinet refinishing,"Scheduled cabinet refinishing visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5.57,1125.91,1293.68,Chloe Murphy,Customer 0391,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,1403.64,1403.64,0
WO-2026-00584,2026-06-02,completed,emergency,Exterior painting,"Scheduled exterior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.21,406.69,431.74,Chloe Murphy,Customer 0391,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,468.44,468.44,3
WO-2026-00585,2026-07-31,completed,routine,Cabinet refinishing,"Scheduled cabinet refinishing visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5,293.11,329.27,Chloe Murphy,Customer 0391,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,357.26,357.26,5
WO-2026-00586,2026-03-09,completed,emergency,Exterior painting,"Performed exterior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",6.24,759.38,704.8,Chloe Murphy,Customer 0391,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,764.71,764.71,5
WO-2026-00587,2026-03-13,completed,routine,Touch-up work,"Scheduled touch-up work visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.41,443.79,434.33,James Haddad,Customer 0392,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,471.25,471.25,0
WO-2026-00588,2026-04-11,completed,scheduled_maintenance,Exterior painting,"Performed exterior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",4.32,1008.26,962.23,James Haddad,Customer 0392,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,1044.02,1044.02,0
WO-2026-00589,2026-06-08,completed,routine,Cabinet refinishing,"Customer requested cabinet refinishing. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.17,680.78,743.54,Chloe Murphy,Customer 0392,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,806.74,806.74,3
WO-2026-00590,2026-02-11,completed,scheduled_maintenance,Interior painting,"Scheduled interior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",7.22,309.57,336.78,Noah Okafor,Customer 0392,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,365.41,365.41,3
WO-2026-00591,2026-03-30,completed,emergency,Touch-up work,"Scheduled touch-up work visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5.79,963.6,956.85,Chloe Murphy,Customer 0392,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,990.34,990.34,5
WO-2026-00592,2026-05-13,completed,routine,Touch-up work,"Performed touch-up work — inspected the affected area, completed the work, and tested everything before leaving the site.",5.51,836.92,919.18,Noah Okafor,Customer 0392,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,997.31,997.31,3
WO-2026-00593,2026-05-04,completed,routine,Touch-up work,"Scheduled touch-up work visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.94,1072.79,1192.63,James Haddad,Customer 0393,"Tampa, FL",Precision Painters LLC,Painter,Pro,paid,1294,1294,4
WO-2026-00594,2026-02-01,completed,routine,Exterior painting,"Exterior painting requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",7.43,1247.39,1340.73,Chloe Murphy,Customer 0393,"Tampa, FL",Precision Painters LLC,Painter,Pro,paid,1454.69,1454.69,4
WO-2026-00595,2026-07-07,completed,scheduled_maintenance,Cabinet refinishing,"Scheduled cabinet refinishing visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5.45,815.9,922.63,Noah Okafor,Customer 0277,"Raleigh, NC",Precision Painters LLC,Painter,Pro,paid,954.92,954.92,0
WO-2026-00596,2026-07-04,completed,routine,Interior painting,"Interior painting requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.09,295.03,277.37,James Haddad,Customer 0276,"Portland, OR",Precision Painters LLC,Painter,Pro,paid,300.95,300.95,0
WO-2026-00597,2026-06-09,completed,routine,Exterior painting,"Scheduled exterior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.88,1007.62,946.31,Noah Okafor,Customer 0276,"Portland, OR",Precision Painters LLC,Painter,Pro,overdue,1026.75,579.31,5
WO-2026-00598,2026-05-10,completed,routine,Touch-up work,"Customer requested touch-up work. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",6.64,1406.27,1564.7,James Haddad,Customer 0394,"Austin, TX",Precision Painters LLC,Painter,Pro,overdue,1697.7,0,3
WO-2026-00599,2026-02-19,completed,routine,Cabinet refinishing,"Performed cabinet refinishing — inspected the affected area, completed the work, and tested everything before leaving the site.",2.56,337.06,332.95,Noah Okafor,Customer 0394,"Austin, TX",Precision Painters LLC,Painter,Pro,paid,361.25,361.25,0
WO-2026-00600,2026-03-02,completed,scheduled_maintenance,Touch-up work,"Scheduled touch-up work visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5.76,838.81,850.85,Noah Okafor,Customer 0394,"Austin, TX",Precision Painters LLC,Painter,Pro,overdue,880.63,197.82,0
WO-2026-00601,2026-02-23,completed,scheduled_maintenance,Interior painting,"Scheduled interior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.6,441.34,420.46,James Haddad,Customer 0394,"Austin, TX",Precision Painters LLC,Painter,Pro,paid,456.2,456.2,3
WO-2026-00602,2026-05-23,completed,routine,Interior painting,"Customer requested interior painting. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.91,838.79,958.03,Chloe Murphy,Customer 0394,"Austin, TX",Precision Painters LLC,Painter,Pro,paid,991.56,991.56,5
WO-2026-00603,2026-06-25,completed,routine,Exterior painting,"Exterior painting requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.23,228.65,217.84,Noah Okafor,Customer 0394,"Austin, TX",Precision Painters LLC,Painter,Pro,paid,225.47,225.47,5
WO-2026-00604,2026-04-10,completed,routine,Interior painting,"Performed interior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",5.62,829.68,942.33,James Haddad,Customer 0395,"Nashville, TN",Precision Painters LLC,Painter,Pro,overdue,1022.43,0,3
WO-2026-00605,2026-04-04,completed,scheduled_maintenance,Cabinet refinishing,"Scheduled cabinet refinishing visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",6.58,304.02,292.37,Chloe Murphy,Customer 0395,"Nashville, TN",Precision Painters LLC,Painter,Pro,paid,317.22,317.22,0
WO-2026-00606,2026-07-01,completed,routine,Cabinet refinishing,"Customer requested cabinet refinishing. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.58,965.38,888.88,Chloe Murphy,Customer 0393,"Portland, OR",Precision Painters LLC,Painter,Pro,paid,964.43,964.43,0
WO-2026-00607,2026-08-19,scheduled,scheduled_maintenance,Touch-up work,"Customer requested touch-up work. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.76,181.51,0,James Haddad,Customer 0396,"Denver, CO",Precision Painters LLC,Painter,Pro,not_invoiced,0,0,0
WO-2026-00608,2026-07-15,completed,routine,Touch-up work,"Touch-up work requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.3,1430.97,1296.69,Noah Okafor,Customer 0396,"Denver, CO",Precision Painters LLC,Painter,Pro,overdue,1406.91,0,3
WO-2026-00609,2026-07-27,completed,scheduled_maintenance,Exterior painting,"Exterior painting requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",7.37,244.87,258.94,James Haddad,Customer 0396,"Denver, CO",Precision Painters LLC,Painter,Pro,paid,280.95,280.95,0
WO-2026-00610,2026-06-17,completed,routine,Exterior painting,"Customer requested exterior painting. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",6.21,382.68,422.91,James Haddad,Customer 0396,"Denver, CO",Precision Painters LLC,Painter,Pro,paid,458.86,458.86,0
WO-2026-00611,2026-05-20,completed,emergency,Cabinet refinishing,"Cabinet refinishing requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",7.72,519.95,549.14,Chloe Murphy,Customer 0396,"Denver, CO",Precision Painters LLC,Painter,Pro,overdue,595.82,195.56,4
WO-2026-00612,2026-05-30,completed,routine,Touch-up work,"Customer requested touch-up work. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.96,895.14,1018.01,Noah Okafor,Customer 0397,"Sacramento, CA",Precision Painters LLC,Painter,Pro,paid,1104.54,1104.54,4
WO-2026-00613,2026-04-23,completed,routine,Cabinet refinishing,"Cabinet refinishing requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",7.54,267.36,250.8,James Haddad,Customer 0397,"Sacramento, CA",Precision Painters LLC,Painter,Pro,paid,272.12,272.12,3
WO-2026-00614,2026-02-01,completed,scheduled_maintenance,Interior painting,"Customer requested interior painting. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.18,969.31,945.29,James Haddad,Customer 0386,"Minneapolis, MN",Precision Painters LLC,Painter,Pro,paid,1025.64,1025.64,0
WO-2026-00615,2026-08-12,completed,scheduled_maintenance,Cabinet refinishing,"Performed cabinet refinishing — inspected the affected area, completed the work, and tested everything before leaving the site.",6.37,309.69,314.63,James Haddad,Customer 0386,"Minneapolis, MN",Precision Painters LLC,Painter,Pro,partial,341.37,87.03,4
WO-2026-00616,2026-02-24,completed,routine,Exterior painting,"Exterior painting requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.38,314.85,327.24,James Haddad,Customer 0386,"Minneapolis, MN",Precision Painters LLC,Painter,Pro,paid,355.06,355.06,3
WO-2026-00617,2026-02-03,completed,routine,Interior painting,"Performed interior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",2.74,848.98,852.51,Noah Okafor,Customer 0314,"Columbus, OH",Precision Painters LLC,Painter,Pro,paid,924.97,924.97,3
WO-2026-00618,2026-09-07,scheduled,routine,Interior painting,"Scheduled interior painting visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.26,664.64,0,James Haddad,Customer 0314,"Columbus, OH",Precision Painters LLC,Painter,Pro,not_invoiced,0,0,0
WO-2026-00619,2026-02-25,completed,emergency,Touch-up work,"Touch-up work requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",5.03,172.46,158.47,Chloe Murphy,Customer 0314,"Columbus, OH",Precision Painters LLC,Painter,Pro,overdue,171.94,0,0
WO-2026-00620,2026-05-12,completed,emergency,Interior painting,"Performed interior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",4.59,558.26,555.65,Noah Okafor,Customer 0398,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,602.88,602.88,3
WO-2026-00621,2026-09-01,scheduled,routine,Cabinet refinishing,"Cabinet refinishing requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.58,825.97,0,James Haddad,Customer 0398,"Seattle, WA",Precision Painters LLC,Painter,Pro,not_invoiced,0,0,0
WO-2026-00622,2026-07-26,completed,scheduled_maintenance,Touch-up work,"Touch-up work requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",5.29,274.29,278.78,Chloe Murphy,Customer 0398,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,288.54,288.54,0
WO-2026-00623,2026-04-25,completed,routine,Interior painting,"Performed interior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",6.34,1412.79,1359.34,Noah Okafor,Customer 0398,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,1474.88,1474.88,0
WO-2026-00624,2026-03-06,completed,scheduled_maintenance,Exterior painting,"Customer requested exterior painting. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",6.87,739.18,751.99,Chloe Murphy,Customer 0398,"Seattle, WA",Precision Painters LLC,Painter,Pro,paid,815.91,815.91,4
WO-2026-00625,2026-09-09,scheduled,emergency,Interior painting,"Performed interior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",3.13,1215.73,0,James Haddad,Customer 0398,"Seattle, WA",Precision Painters LLC,Painter,Pro,not_invoiced,0,0,0
WO-2026-00626,2026-02-14,completed,routine,Interior painting,"Performed interior painting — inspected the affected area, completed the work, and tested everything before leaving the site.",6.45,1402.57,1267.85,Noah Okafor,Customer 0326,"Sacramento, CA",Precision Painters LLC,Painter,Pro,paid,1375.62,1375.62,4
WO-2026-00627,2026-04-06,completed,routine,Leak repair,"Performed leak repair — inspected the affected area, completed the work, and tested everything before leaving the site.",2.23,170.25,174.33,Carlos Nguyen,Customer 0399,"Seattle, WA",Downtown Drain Doctors,Plumber,Starter,paid,189.15,189.15,4
WO-2026-00628,2026-04-12,completed,routine,Fixture installation,"Performed fixture installation — inspected the affected area, completed the work, and tested everything before leaving the site.",4.01,892.03,820.44,Carlos Nguyen,Customer 0399,"Seattle, WA",Downtown Drain Doctors,Plumber,Starter,paid,890.18,890.18,5
